Issue Type,Summary,Status,Updated,Created,Priority,Issue key,Issue id,Parent id,Reporter,Assignee,Resolved,Time Spent
Task,The Mines of Moria are breached,Done,2022-02-19 18:03:00,2022-02-19 10:05:00,Unspecified,LR-5136,340398,,Frodo Baggins,Gimli,2022-02-19 18:03:00,28800.0
Bug,Gollum's betrayal leads to chaos,Done,2022-02-18 15:43:00,2022-02-18 15:32:00,Unspecified,LR-5467,340323,,Aragorn,Gandalf,2022-02-18 15:43:00,
Code review,The fall of Sauron at Barad-dûr,Done,2022-02-19 14:24:00,2022-02-18 14:34:00,ASAP,LR-3329,340311,340101.0,Gandalf the Grey,Legolas,2022-02-19 14:24:00,10800.0
Code review,Gandalf returns to Middle-Earth,Done,2022-02-18 15:18:00,2022-02-18 13:08:00,High,LR-7248,340253,340013.0,Boromir,Boromir,2022-02-18 14:02:00,2880.0
Task,The fall of Sauron at Barad-dûr,Done,2022-02-18 17:40:00,2022-02-18 10:00:00,Unspecified,LR-9602,340153,,Gandalf the Grey,Samwise Gamgee,2022-02-18 17:40:00,28800.0
Story,Eowyn defeats the Witch-king,Done,2022-02-19 09:26:00,2022-02-18 08:46:00,Unspecified,LR-7361,340217,,Boromir,Frodo Baggins,2022-02-19 09:26:00,16200.0
Task,Gollum's betrayal leads to chaos,Done,2022-02-19 12:53:00,2022-02-17 18:03:00,Unspecified,LR-3443,340076,,Aragorn,Frodo Baggins,2022-02-19 12:53:00,12600.0
Bug,The Mines of Moria are breached,Done,2022-02-19 14:57:00,2022-02-17 11:33:00,High,LR-4082,340013,,Frodo Baggins,Aragorn,2022-02-19 14:57:00,7200.0
Code review,Gandalf returns to Middle-Earth,Done,2022-02-18 17:15:00,2022-02-16 20:50:00,Medium,LR-5916,339755,329568.0,Pippin Took,Saruman,2022-02-18 17:15:00,
Story,Frodo and Sam reach Mount Doom,Done,2022-02-17 15:09:00,2022-02-14 14:39:00,High,LR-4814,339470,,Legolas,Gimli,2022-02-14 15:21:00,5400.0
Code review,The fall of Sauron at Barad-dûr,Done,2022-02-18 15:18:00,2022-02-14 14:25:00,Medium,LR-7243,339464,339064.0,Boromir,Aragorn,2022-02-17 16:09:00,14400.0
Task,Gandalf returns to Middle-Earth,Done,2022-02-17 15:09:00,2022-02-14 13:42:00,Unspecified,LR-5345,339454,,Frodo Baggins,Gimli,2022-02-17 09:27:00,5400.0
Task,The Ents march on Isengard,Done,2022-02-17 15:09:00,2022-02-14 10:34:00,ASAP,LR-1854,339432,,Boromir,Samwise Gamgee,2022-02-14 15:30:00,27000.0
Code review,Helm's Deep is under siege,Done,2022-02-18 15:18:00,2022-02-13 16:28:00,High,LR-7738,339341,339304.0,Frodo Baggins,Boromir,2022-02-17 15:16:00,15120.0
Code review,The Mines of Moria are breached,Done,2022-02-14 08:19:00,2022-02-13 14:23:00,Unspecified,LR-4503,339247,298450.0,Pippin Took,Aragorn,2022-02-13 14:38:00,
Research,Saruman's betrayal is revealed,Done,2022-02-17 15:09:00,2022-02-13 14:23:00,Unspecified,LR-4550,339246,,Frodo Baggins,Gimli,2022-02-14 09:01:00,14400.0
Story,Frodo and Sam reach Mount Doom,Done,2022-02-18 15:18:00,2022-02-13 12:52:00,High,LR-6224,339304,,Frodo Baggins,Legolas,2022-02-17 15:34:00,21600.0
Code review,The Mines of Moria are breached,Done,2022-02-17 15:09:00,2022-02-13 12:26:00,Medium,LR-7608,339213,333437.0,Samwise Gamgee,Boromir,2022-02-17 10:16:00,12600.0
Code review,Gandalf returns to Middle-Earth,Done,2022-02-14 08:19:00,2022-02-13 12:24:00,ASAP,LR-3092,339212,337398.0,Samwise Gamgee,Gimli,2022-02-13 14:12:00,2520.0
Sub-task,The battle of Pelennor Fields,Done,2022-02-14 08:19:00,2022-02-13 10:50:00,Unspecified,LR-7725,339068,337167.0,Gimli,Gimli,2022-02-13 11:53:00,1800.0
Story,The fellowship forms in Rivendell,Done,2022-02-18 15:18:00,2022-02-13 10:36:00,Medium,LR-1140,339064,,Pippin Took,Frodo Baggins,2022-02-18 10:59:00,37800.0
Story,Frodo and Sam reach Mount Doom,Done,2022-02-14 08:19:00,2022-02-13 09:44:00,High,LR-7897,339053,,Legolas,Aragorn,2022-02-13 09:46:00,24000.0
